Assignment Name,Assignment ID,Remediation Assignment Topic 1,Remediation Assignment Topic 2,,
1.1a Adding and Subtracting Whole Numbers,5eaed9715adf0d000485301c,,,,
1.1b Multiplying Whole Numbers,5eaed9715adf0d000485301e,5eaed9715adf0d000485301c,,,
1.1c Dividing Whole Numbers,5eaed9715adf0d0004853022,5eaed9715adf0d000485301e,,,
1.1d Applications,5eda37a17952e2002cc67536,5eaed9715adf0d000485301c,5eaed9715adf0d000485301e,5eaed9715adf0d0004853022,
1.2a Divisibility,5eaed9725adf0d000485303e,5eaed9715adf0d0004853022,,,
1.2b Prime Factorization,5eda3a9008678c002b43b2b5,5eaed9715adf0d0004853022,5eaed9725adf0d000485303e,,
1.2c GCF and LCM,5eda3a9ff7651e006b791c2c,5eda3a9008678c002b43b2b5,,,
2.1a Integers and the Number Line,5eaed9735adf0d000485304d,5eaed9715adf0d000485301c,,,
2.1b Adding and Subtracting Integers,5eaed9735adf0d0004853054,5eaed9715adf0d000485301c,5eaed9735adf0d000485304d,,
2.1c Absolute Value,5eda3c2df7651e000c791cb1,5eaed9735adf0d000485304d,,,
2.1d Multiplying and Dividing Integers,5eaed9745adf0d000485305c,5eaed9715adf0d000485301e,5eaed9715adf0d0004853022,5eaed9735adf0d000485304d,
2.2a Order of Operations,5ec15d4ff30afe322fc31864,5eaed9735adf0d0004853054,5eaed9745adf0d000485305c,,
3.1a Writing Algebraic Expressions and Equations,5eaed9715adf0d0004853028,5ec15d4ff30afe322fc31864,,,
3.1b Properties of Real Numbers,5eaed97a5adf0d00048530f3,5eda3a9008678c002b43b2b5,5ec15d4ff30afe322fc31864,,
3.2a Evaluating Expressions,5eaed9725adf0d000485302d,5ec15d4ff30afe322fc31864,5eaed9715adf0d0004853028,,
3.2b Interpreting Values of Expressions,5eda41b7f7651e0056791c2a,5eda41b7f7651e0056791c2a,,,
3.2c Simplifying Algebraic Expressions,5eeb9e6df6a8090ae0af64dd,5ec15d4ff30afe322fc31864,5eaed97a5adf0d00048530f3,,
3.3a Solutions of Equations,5eaed9725adf0d0004853035,5eaed9725adf0d000485302d,5eeb9e6df6a8090ae0af64dd,,
3.3b Addition and Subtraction Properties,5eda43017952e2002dc676e2,5eaed9725adf0d000485302d,5eaed9725adf0d0004853035,,
3.3c Multiplication and Division Properties,5eaed9745adf0d0004853064,5eaed9725adf0d0004853035,5eda43017952e2002dc676e2,,
4.1a Visualizing Fractions,5eaed9745adf0d000485306a,5eaed9715adf0d0004853022,5eaed9735adf0d000485304d,,
4.1b Equivalent Fractions,5eda8d44171910000d1b0f38,5eaed9715adf0d000485301e,5eaed9715adf0d0004853022,5eda3a9008678c002b43b2b5,5eaed9745adf0d000485306a
4.1c Comparing Fractions,5eda8d53171910004b1b103d,5eaed9745adf0d000485306a,5eda8d44171910000d1b0f38,,
4.2a Multiplying Fractions,5eaed9755adf0d0004853074,5eaed9715adf0d000485301e,5eda8d44171910000d1b0f38,,
4.2b Dividing Fractions,5eda8e9b457acf0044d90697,5eaed9715adf0d000485301e,5eda8d44171910000d1b0f38,5eaed9755adf0d0004853074,
4.2c Multiplying Mixed Numbers,5eaed9755adf0d000485307c,5eda8d44171910000d1b0f38,5eaed9755adf0d0004853074,,
