Assignment Name,Assignment ID,Remediation Assignment Topic 1,Remediation Assignment Topic 2,,
1.1a Operations with Integers,5eaedd2d5adf0d000485430c,5eaed9715adf0d000485301c,5eaed9715adf0d000485301e,5eaed9715adf0d0004853022,
1.1b Absolute Value,5edb7e93d04038369afc1e59,5eaed9735adf0d000485304d,,,
1.1c Order of Operations,5ecfe35930111711d0e7b5d0,5eaedd2d5adf0d000485430c,,,
1.2a Divisibility,5eaedd2d5adf0d0004854306,5eaed9715adf0d000485301e,5eaed9715adf0d0004853022,,
1.2b Prime Factorization,5edb808819b334348379e6c8,5eaed9715adf0d0004853022,5eaed9725adf0d000485303e,,
1.2c GCF and LCM,5edb809b19b334348379e6cc,5eda3a9008678c002b43b2b5,,,
1.3a Visualizing Fractions,5eaedd2e5adf0d000485431a,5eaed9715adf0d0004853022,5eaed9735adf0d000485304d,,
1.3b Equivalent Fractions,5eea899c8aaf06000d00d575,5eaed9715adf0d000485301e,5eaed9715adf0d0004853022,5eda3a9008678c002b43b2b5,5eaed9745adf0d000485306a
1.3c Comparing Fractions,5eea89caf6a809004caf7004,5eaed9745adf0d000485306a,5eda8d44171910000d1b0f38,,
1.4a Multiplying and Dividing Fractions,5ebc50e3a08608553af85cc0,5eaed9715adf0d000485301e,5eda8d44171910000d1b0f38,,
1.5a Adding and Subtracting Fractions with Equal Denominators,5eea8aec8aaf06000f00d17b,5eda8d44171910000d1b0f38,,,
1.5b Adding and Subtracting Fractions with Different Denominators,5eea8b0e8aaf06000f00d18f,5eda8d44171910000d1b0f38,5eaed9755adf0d0004853085,,
1.6a Visualizing Decimals,5eea8bfb777637002fe51d2f,5eaed9735adf0d000485304d,5eaed9745adf0d000485306a,,
1.6b Naming Decimals,5eea8c148aaf06000e00d205,5eaed9765adf0d00048530ac,,,
1.6c Comparing Decimals,5eea8c348aaf06000e00d20b,5eda97e417191000591b11bb,,,
1.6d Rounding Decimals,5eea8c4df6a8090044af6e8f,5eda97e417191000591b11bb,5eda97f2516661004e905bcb,,
1.7a Adding and Subtracting Decimals,5eea8cf0f6a809002caf6ff1,5eaed9715adf0d000485301c,,,
1.7b Multiplying Decimals,5edb8b703206d342319ac396,5eaed9715adf0d000485301e,5edab9ef457acf002dd914e0,,
1.8a Writing Decimals as Fractions,5eea8e1bf6a809004caf7155,5eda8d44171910000d1b0f38,5eda97e417191000591b11bb,,
1.8b Writing Fractions as Terminating Decimals,5eea8e3ef6a809002caf7077,5eaed9715adf0d0004853022,5eda97e417191000591b11bb,,
1.8c Writing Fractions as Repeating Decimals,5eea8ec0f6a809004caf719f,5eaed9715adf0d0004853022,5eda97e417191000591b11bb,5edabbc3457acf0028d9130f,
1.9a Systems of Measurement,5eea90808aaf06000e00d333,5eaed9755adf0d0004853074,5edab9ef457acf002dd914e0,5eaed9775adf0d00048530c3,
1.10a Percentages and Decimals,5eea912d8aaf06001000d0e9,5eda97e417191000591b11bb,5edab9ef457acf002dd914e0,,
1.10b Percentages and Fractions,5eea9144f6a8090044af6fb4,5eda8d44171910000d1b0f38,,,
1.10c Calculating Percentages,5edb919b3206d341ee9ac427,5eaed9755adf0d0004853074,5edaba07516661004e906442,5eaed9745adf0d0004853064,
1.11a Square Roots,5eea92d28aaf06001100cc67,5eda3a9008678c002b43b2b5,5eaed9735adf0d000485304d,,
1.11b Simplifying Square Roots,5eea92ea777637002ce51efd,5edac008457acf002dd91647,,,
1.11c Multiplying and dividing Square Roots,5edb9395d040384321fc1d4e,5edac020516661002b906739,,,
1.11d Rationalizing Denominators,5eea93078aaf06001000d16e,5edac020516661002b906739,5edac038171910005a1b1caf,,
2.1a Properties of Real Numbers,5eeb9ebb8aaf0609df00c4f1,5eda3a9008678c002b43b2b5,5ec15d4ff30afe322fc31864,,
2.1b Writing Algebraic Expressions and Equations,5edb964219b33440e479e7df,5ec15d4ff30afe322fc31864,,,
2.1c Evaluating Algebraic Expressions,5eeb9b6777763707d4e511e1,5ec15d4ff30afe322fc31864,5eaed9715adf0d0004853028,,
2.1d Interpreting Values of Expressions,5eeb9b83f6a809097baf6594,5eda41b7f7651e0056791c2a,,,
2.1e Simplifying Algebraic Expressions,5edb963319b33440e479e7dd,5ec15d4ff30afe322fc31864,5eaed97a5adf0d00048530f3,,
2.2a Solutions of Equations,5eaedd305adf0d0004854343,5eaed9725adf0d000485302d,5eeb9e6df6a8090ae0af64dd,,
2.2b Addition and Subtraction Properties,5edb983a19b334404c79e7cf,5eaed9725adf0d000485302d,5eaed9725adf0d0004853035,,
2.2c Multiplication and Division Properties,5eaedd305adf0d000485434b,5eaed9725adf0d0004853035,5eda43017952e2002dc676e2,,
2.3a A General Strategy for Solving Linear Equations,5ed585b3082fa825654159c8,5eda43017952e2002dc676e2,5eaed9745adf0d0004853064,,
2.3b Equations with Fractions,5eaedd315adf0d000485436a,5eda8d44171910000d1b0f38,5eda9218457acf002dd907f8,,
2.3c Equations with Decimals,5edc1b9e19b3346dfd79efb1,5eaed97b5adf0d000485310c,5edab9ef457acf002dd914e0,,
2.3d Formulas,5eaedd325adf0d0004854373,5eaed97d5adf0d000485313b,,,
"2.4a Rectangles, Triangles, and Trapezoids",5eaedd335adf0d0004854399,5eaed9725adf0d000485302d,5eaed97d5adf0d000485313b,,
2.4b Circles,5edb9e0cd040384288fc1e23,5eaed9725adf0d000485302d,5eaed97d5adf0d000485313b,,
2.4c Volume and Surface Area,5edb9e1ad040384234fc1efb,5eaed9725adf0d000485302d,5eaed97d5adf0d000485313b,,
2.5a Set-Builder and Interval Notation,5eaedd325adf0d000485437d,5eaed9735adf0d000485304d,,,
2.5b Solutions of Linear Inequalities,5edb9fc2d040384193fc1e64,5eaed9725adf0d0004853035,,,
2.5c Solving Linear Inequalities,5edb9fd13206d342319ac58e,5edb9fc2d040384193fc1e64,,,
3.1a The Rectangular Coordinate System,5ed0209f6528c3002d0f6326,5eaed9735adf0d000485304d,,,
3.1b Solutions of Equations in Two Variables,5ed020eb6528c3000c0f62ee,5eaed9725adf0d0004853035,,,
3.1c Graphs of Linear Equations,5edbaa8cd0403842cdfc1f07,5eaed97f5adf0d0004853183,5eaed97f5adf0d000485318c,,
3.2a Slope,5ed02101de2b37002e7e7dfe,5edac981457acf1fb3d906e5,,,
3.2b Equations of Lines in Slope-Intercept Form,5eaedd355adf0d00048543d1,5edbaa8cd0403842cdfc1f07,5ed02101de2b37002e7e7dfe,,
3.3a Point-Slope Form of a Linear Equation,5edbac88d0403841e2fc1ec4,5edbaa8cd0403842cdfc1f07,5ed02101de2b37002e7e7dfe,,
3.3b Converting to Slope-Intercept Form,5edbac9ad040384193fc1f20,5eaedd355adf0d00048543d1,5edbac88d0403841e2fc1ec4,,
3.3c Finding a Point-Slope Equation for a Line,5edbacd419b334413279e907,5ed02101de2b37002e7e7dfe,5edbac88d0403841e2fc1ec4,,
3.4a Solutions of Inequalities in Two Variables,5eaedd365adf0d00048543e4,5edb9fc2d040384193fc1e64,5ed020eb6528c3000c0f62ee,,
3.4b Graphing Linear Inequalities in Two Variables,5edbb0de3206d3418e9ac71d,5edbaa8cd0403842cdfc1f07,5eaedd365adf0d00048543e4,,
4.1a Graphical Solutions of Systems of Linear Equations,5eaedd365adf0d00048543ee,5edbaa8cd0403842cdfc1f07,,,
4.1b Algebraic Solutions of Systems of Linear Equations,5eaedd365adf0d00048543f7,5edb963319b33440e479e7dd,5ed585b3082fa825654159c8,,
4.1c Inconsistent and Dependent Systems,5edbecda3206d354679ac9d8,5eaedd365adf0d00048543ee,5eaedd365adf0d00048543f7,,
