Assignment Name,Assignment ID,Remediation Assignment Topic 1,Remediation Assignment Topic 2,,
1.1a Functions,5edbaa8cd0403842cdfc1f07,5edbaa8cd0403842cdfc1f07,5eaedd405adf0d000485451e,,
1.1b Functional Notation,5edfff974b7e3e0029065bae,5eeb9b6777763707d4e511e1,,,
1.1c Domain and Range,5eaedae55adf0d000485347c,5eaedae55adf0d000485347a,,,
1.1d Piecewise Defined Functions,5ee0009d68644800246c4ba7,5edfff974b7e3e0029065bae,5eaedae55adf0d000485347c,,
1.2a Average Rates of Change,5eaedae65adf0d0004853480,5ed02101de2b37002e7e7dfe,,,
1.2b Increasing and Decreasing Functions,5ee002ed68644800246c4c1a,5edbf3b2d0403854fafc26dd,,,
"1.3a Sums, Differences, Products, and Quotients of Functions",5eaedae65adf0d0004853485,5eaedd375adf0d0004854415,5eaedd385adf0d000485442a,5edfff974b7e3e0029065bae,
1.3b Compositions of Functions,5ee003e74b7e3e002c065f09,5edfff974b7e3e0029065bae,,,
1.4a Shifting Graphs,5eaedae65adf0d000485348d,5eaedd405adf0d000485451e,,,
1.4b Stretching and Compressing Graphs,5ee004924b7e3e0047065cea,5eaedd405adf0d000485451e,5eaedae65adf0d000485348d,,
1.4c Reflecting Graphs,5ee004a5978eb0002264cb71,5eaedd405adf0d000485451e,5eaedae65adf0d000485348d,5ee004924b7e3e0047065cea,
1.5a Absolute Value Functions,5eaedae75adf0d0004853495,5eaedae65adf0d000485348d,5ee004924b7e3e0047065cea,5ee004a5978eb0002264cb71,
1.5b Absolute Value Equations and Inequalities,5ee0057d686448002c6c4bd8,5edb7e93d04038369afc1e59,5ed585b3082fa825654159c8,5edb9fd13206d342319ac58e,
1.6a One to One Functions,5eaedae75adf0d00048534a0,5eaedae55adf0d000485347a,,,
1.6b Inverse Functions,5ee00650978eb0002d64c980,5eaedd325adf0d0004854373,5eaedae75adf0d00048534a0,,
1.6c Domains of Inverse Functions,5ee0065f686448002c6c4c03,5eaedae55adf0d000485347c,5ee00650978eb0002d64c980,,
1.6d Interpreting Inverse Functions,5ee0066f978eb0002c64cbaf,5ee00650978eb0002d64c980,,,
2.1a Linear Functions,5ee0c8594b7e3e6f8906507a,5edbaa8cd0403842cdfc1f07,,,
2.1b Equations of Lines,5eaedae75adf0d00048534a7,5edbaa8cd0403842cdfc1f07,,,
2.1c Applications,5ee0c86e4b7e3e6ef0065001,5ed02101de2b37002e7e7dfe,,,
2.2a Horizontal and Vertical Lines,5ee0ca5f4b7e3e6eb9065079,5ed02101de2b37002e7e7dfe,,,
2.2b Parallel and Perpendicular Lines,5eaedae85adf0d00048534ae,5ed02101de2b37002e7e7dfe,5edbac88d0403841e2fc1ec4,,
2.2c Point of Intersection of Two Lines,5ee0ca7b6864486e1e6c3e48,5ed585b3082fa825654159c8,,,
2.2d Piecewise Linear Functions,5ee0ca8c978eb06e1364be40,5ee0009d68644800246c4ba7,5eaedae75adf0d00048534a7,,
2.3a Linear Models of Data,5ee0cc15978eb06e1364be45,5ee0c8594b7e3e6f8906507a,5eaedae75adf0d00048534a7,,
3.1a Complex Numbers,5eaedae95adf0d00048534c8,5eea92d28aaf06001100cc67,5eaedd375adf0d0004854415,5eaedd385adf0d000485442a,
3.1b Operations with Complex Numbers in Radical Form,5ee0cce4978eb06dd364bdc5,5eea92d28aaf06001100cc67,,,
3.1c The Complex Plane,5ee0ccf44b7e3e6f890650a6,5ed0209f6528c3002d0f6326,5ee0ccf44b7e3e6f890650a6,,
3.2a Quadratic Equations,5edc24cbd0403870b9fc278d,5eaedd3a5adf0d000485446e,,,
3.2b Graphing Quadratic Functions,5ee0ce2d978eb06dd364bdca,5edbf3b2d0403854fafc26dd,,,
3.2c Graphical Transformations of Parabolas,5ee0ce436864486f006c3d8b,5ee0ce2d978eb06dd364bdca,5eaedae65adf0d000485348d,5ee004924b7e3e0047065cea,5ee004a5978eb0002264cb71
3.2d Optimization Problems,5ee0ce584b7e3e6ef00650b3,5edbf3b2d0403854fafc26dd,5ee0ce2d978eb06dd364bdca,,
3.3a Polynomial Terminology,5eaedaea5adf0d00048534dc,5edac4e6457acf2071d905d4,,,
3.3b Zeros of Polynomial Functions,5ee0d1666864485db76c4090,5eaedd3b5adf0d0004854488,5eaedd3b5adf0d0004854491,,
3.4a End Behavior of Polynomial Graphs,5ee0d20e4b7e3e6f5806505e,5ee0ce2d978eb06dd364bdca,,,
3.4b Zeros and Intercepts of Polynomial Graphs,5edc41e2f2ca7f002c17e004,5ee0d1666864485db76c4090,,,
3.4c The Intermediate Value Theorem,5ee0d2206864486e736c3e62,5eeb9b6777763707d4e511e1,,,
3.5a Long Division of Polynomials,5ee0d2fe6864485db76c40e2,5eaedd385adf0d000485442a,5eaedd395adf0d000485444e,,
3.5b Synthetic Division,5eaedaea5adf0d00048534ef,5ee0d2fe6864485db76c40e2,,,
3.6a The Remainder and Factor Theorems,5eaedaeb5adf0d00048534fa,5eaedaea5adf0d00048534ef,,,
3.6b Complex Conjugate Zeros,5ee0d3b06864486e736c3e6a,5eaedae95adf0d00048534c8,5ee0d1666864485db76c4090,,
3.6c The Rational Root Theorem,5ee0d3c3978eb06d8a64bded,5ee0d1666864485db76c4090,5eaedaea5adf0d00048534ef,,
3.6d Descartes' Rule of Signs,5ee0d3d74b7e3e6ef0065154,5ee0d1666864485db76c4090,,,
3.7a - Graphs of Rational Functions,5eaedaeb5adf0d0004853502,5eaedd3b5adf0d0004854488,5ee0d20e4b7e3e6f5806505e,,
3.7b Slant Asymptotes,5ee0d52f6864486ec56c3e6c,5eaedaeb5adf0d0004853502,,,
3.8a - Modeling Using Variation,5eaedaec5adf0d0004853516,5eaed9775adf0d00048530c3,,,
4.1a Exponential Functions,5eaedaec5adf0d0004853521,5eaedd375adf0d0004854421,,,
4.1b Equations of Exponential Functions,5ee0d8ad978eb05d4e64c0f5,5eaedd375adf0d0004854421,5eaedaec5adf0d0004853521,,
4.2a Graphs of Exponential Functions,5eaedaec5adf0d0004853529,5eaedae65adf0d000485348d,5ee004924b7e3e0047065cea,5ee004a5978eb0002264cb71,
4.3a The Definition of a Logarithm,5eaedaed5adf0d0004853532,5eaedd375adf0d0004854421,5ee00650978eb0002d64c980,,
4.3b Evaluating Logarithms,5ee0d9fd978eb06dd364bea7,5eaedaed5adf0d0004853532,,,
4.4a Properties of Logarithms,5eaedaee5adf0d0004853546,5eaedaed5adf0d0004853532,,,
4.4b More on Evaluating Logarithms,5ee0dbfd978eb05d4e64c14b,5ee0d9fd978eb06dd364bea7,5eaedaee5adf0d0004853546,,
4.4c The Change of Base Formula,5ee0dc104b7e3e5e5606537d,5eaedaed5adf0d0004853532,5eaedaee5adf0d0004853546,,
4.5a Features of Logarithmic Graphs,5ee0dce34b7e3e6f58065115,5ee00650978eb0002d64c980,5eaedaec5adf0d0004853529,,
4.5b Graphing Logarithmic Functions,5eaedaed5adf0d000485353f,5ee00650978eb0002d64c980,5eaedaec5adf0d0004853529,5ee0dce34b7e3e6f58065115,
4.6a Exponential Equations,5eaedaee5adf0d000485354d,5eaedaed5adf0d0004853532,,,
4.6b Logarithmic Equations,5ee0de5d978eb06d8a64be9b,5eaedaed5adf0d0004853532,5eaedaee5adf0d0004853546,,
4.6c Applications,5ee0d8854b7e3e6f580650a6,5eaedaee5adf0d000485354d,5ee0de5d978eb06d8a64be9b,,
4.6d Exponential Models of Data,5eaedaef5adf0d000485355d,5eaedaec5adf0d0004853521,,,
5.1a Degrees and Radians,5eaedaef5adf0d0004853564,5eaedaef5adf0d0004853564,,,
5.1b Coterminal Angles,5ee0e1094b7e3e6f580651de,5eaedaef5adf0d0004853564,,,
5.1c Arc Length,5ee0e115978eb06d0664bfa6,5edb9e0cd040384288fc1e23,5eaedaef5adf0d0004853564,5ee0e1094b7e3e6f580651de,
5.2a The Sine and Cosine Functions,5eaedaf05adf0d000485356d,5eaedaef5adf0d0004853564,5ee0e1094b7e3e6f580651de,,
5.2b Reference Angles,5ee0e24f4b7e3e6ef0065374,5eaedaf05adf0d000485356d,,,
"5.2c Tangent, Cotangent, Secant and Cosecant",5eaedaf05adf0d0004853576,5eaedaf05adf0d000485356d,5ee0e24f4b7e3e6ef0065374,,
5.2d Evaluating All Trigonometric Functions of an Angle,5ee0e2746864486e1e6c3feb,5eaedaf05adf0d000485356d,5ee0e24f4b7e3e6ef0065374,5eaedaf05adf0d0004853576,
5.3a Right Triangle Trigonometry,5eaedaf15adf0d000485357d,5eaedaf05adf0d000485356d,5eaedaf05adf0d0004853576,5ee0e2746864486e1e6c3feb,
"6.1a Amplitude, Period and Phase Shift",5eaedaf15adf0d0004853585,5eaedaf05adf0d000485356d,5eaedae65adf0d000485348d,5ee004924b7e3e0047065cea,5ee004a5978eb0002264cb71
6.1b Graphs of Sine and Cosine Functions,5ee0e55c978eb06d0664c089,5eaedae65adf0d000485348d,5ee004924b7e3e0047065cea,5ee004a5978eb0002264cb71,5eaedaf15adf0d0004853585
6.1c Graphs of the Other Trigonometric Functions,5eaedaf35adf0d000485358c,5eaedae65adf0d000485348d,5ee004924b7e3e0047065cea,5ee004a5978eb0002264cb71,5eaedaf05adf0d0004853576
6.2a Inverse Trigonometric Functions,5ee0e7026864486de46c41a6,5ee00650978eb0002d64c980,5eaedaf05adf0d000485356d,5eaedaf05adf0d0004853576,
6.2b Domain and Range,5ee0e71a6864486f006c408a,5eaedae55adf0d000485347c,5eaedaf05adf0d000485356d,5eaedaf05adf0d0004853576,5ee0e7026864486de46c41a6
6.2c Composing Trigonometric and Inverse Trigonometric Functions,5eaedaf35adf0d0004853594,5ee003e74b7e3e002c065f09,5eaedaf15adf0d000485357d,5ee0e7026864486de46c41a6,
7.1a Basic Trigonometric Identities,5eaedaf45adf0d000485359c,5eaedaf05adf0d000485356d,5eaedaf05adf0d0004853576,,
7.1b Sum and Difference Identities,5eaedaf45adf0d00048535a2,5ee0e2746864486e1e6c3feb,,,
"7.1c Double-Angle, Half-Angle and Reduction Formulas",5eaedaf55adf0d00048535a8,5ee0e2746864486e1e6c3feb,5eaedaf45adf0d00048535a2,,
7.1d Sum-to-Product and Product-to-Sum Formulas,5eaedaf55adf0d00048535af,5ee0e2746864486e1e6c3feb,5eaedaf45adf0d00048535a2,,
