Assignment Name,Assignment ID,Remediation Assignment Topic 1,Remediation Assignment Topic 2,,
1.1 Introduction to Limits,5ee2b22b458014002c9a6f85,5eaedae65adf0d0004853480,5ee0009d68644800246c4ba7,,
1.2 Epsilon-Delta Definition of a Limit,5eaedbec5adf0d0004853b2e,5ee0057d686448002c6c4bd8,5eaedb005adf0d00048536a8,5ee116d8686448038e6c435f,
1.3a Properties of Limits,5ee77d323b791269f6cf763f,5eaedb005adf0d00048536a8,5ee116d8686448038e6c435f,,
1.3b Finding Limits Analytically,5eaedbec5adf0d0004853b32,5eaedd3b5adf0d0004854499,5edbf6f2d0403855aefc2596,5ee77d323b791269f6cf763f,
1.4 One Sided Limits,5eaedbec5adf0d0004853b39,5ee0009d68644800246c4ba7,5ee77d323b791269f6cf763f,5eaedbec5adf0d0004853b32,
1.5 Limits Involving Infinity,5eaedbed5adf0d0004853b4c,5ee0d20e4b7e3e6f5806505e,5eaedaeb5adf0d0004853502,5eaedb005adf0d00048536a8,
1.6 Continuity,5eaedbed5adf0d0004853b42,5eaedb005adf0d00048536a8,5ee117bc4b7e3e03900659be,,
2.1 The Definition of a Derivative,5ee38af918725863c51c224b,5eaedb015adf0d00048536b2,,,
2.2 Derivatives and Graphs,5ee38fef458014649f9a6b1e,5ee38af918725863c51c224b,,,
2.3 Basic Differentiation Rules,5eaedbee5adf0d0004853b72,5ee38af918725863c51c224b,,,
2.4 The Product and Quotient Rules,5eaedbee5adf0d0004853b7d,5eaedbee5adf0d0004853b72,,,
2.5 Derivatives of Trigonometric Functions,5ec7e70fb24c8d060f948f8d,5eaedaf45adf0d000485359c,5eaedbee5adf0d0004853b72,5eaedbee5adf0d0004853b7d,
2.6 The Chain Rule,5eaedbef5adf0d0004853b87,5eaedbee5adf0d0004853b7d,5ec7e70fb24c8d060f948f8d,,
2.7 Implicit Differentiation,5eaedbef5adf0d0004853b90,5eaedbef5adf0d0004853b87,,,
2.8a Derivatives of Inverse Functions,5eaedbef5adf0d0004853b9c,5ee00650978eb0002d64c980,5eaedbef5adf0d0004853b90,,
2.8b Derivatives of Inverse Trigonometric Functions,5ee7816f3b791269bccf755f,5ee0e7026864486de46c41a6,5eaedbee5adf0d0004853b7d,5ec7e70fb24c8d060f948f8d,5eaedbef5adf0d0004853b87
2.9 Derivatives of Exponential and Logarithmic Functions,5ee3956b2b78e855e316ef06,5eaedaee5adf0d0004853546,5eaedbee5adf0d0004853b7d,5eaedbef5adf0d0004853b87,
3.1 Extreme Values,5eaedbf05adf0d0004853ba5,5ee002ed68644800246c4c1a,5ee38fef458014649f9a6b1e,,
3.2 The Mean Value Theorem,5eaedbf05adf0d0004853baf,5eaedae65adf0d0004853480,5ee12114686448022b6c4aee,,
3.3 Increasing and Decreasing Functions,5ee3a252458014649f9a6d7e,5eaedae65adf0d0004853480,5ee38fef458014649f9a6b1e,,
3.4 Concavity and Curve Sketching,5ee3a6152b78e8646216ee8c,5eaedbf05adf0d0004853ba5,5ee3a252458014649f9a6d7e,,
4.1 Optimization,5eaedbf25adf0d0004853be4,5eaedbf05adf0d0004853ba5,,,
4.2 Related Rates,5eaedbf25adf0d0004853bda,5eaedbef5adf0d0004853b90,,,
4.3 Differentials,5ee3cb2731a415002e1cfd59,5ee12114686448022b6c4aee,,,
4.4 Newton's Method,5eaedbf15adf0d0004853bd1,5ee12114686448022b6c4aee,,,
5.1 Antiderivatives and Indefinite Integration,5eaedbf35adf0d0004853bf5,5eaedbee5adf0d0004853b72,5ec7e70fb24c8d060f948f8d,5ee3956b2b78e855e316ef06,
5.2 The Definite Integral,5eaedbf35adf0d0004853bff,5eaedd335adf0d0004854399,,,
5.3a Sigma Notation,5ee782e62f83eb6a63f333ac,5ee0c8594b7e3e6f8906507a,5eaedaec5adf0d0004853521,5eaedafe5adf0d0004853667,
5.3b Riemann Sums,5eaedbf35adf0d0004853c0e,5eaedbf35adf0d0004853bff,5ee782e62f83eb6a63f333ac,,
5.4 The Fundamental Theorem of Calculus,5ee3de917c92d8002d595438,5eaedbf35adf0d0004853bf5,5eaedbf35adf0d0004853bff,,
5.5 Numerical Integration,5eaedbf45adf0d0004853c25,5eaedbf35adf0d0004853c0e,,,
